10
           x         y
0   0.005149  0.191719
1   0.005149  0.191719
2   0.052125  0.212144
3   0.052125  0.212144
4   0.071323  0.249918
5   0.071323  0.249918
6   0.079730  0.282276
7   0.079730  0.282276
8   0.101057  0.286981
9   0.101057  0.286981
10  0.160085  0.547741
11  0.160085  0.547741
12  0.397781  0.612949
13  0.397781  0.612949
14  0.761193  0.783624
15  0.761193  0.783624
16  0.935250  0.836809
17  0.935250  0.836809
18  0.938015  0.936887
19  0.938015  0.936887
